2020-11-03 17:19:18,930 p=1 u=root n=ansible | PLAY [all] ***********************************************************************************************************************************************************************************
2020-11-03 17:19:19,019 p=1 u=root n=ansible | TASK [Check ansible version >=2.7.8] *********************************************************************************************************************************************************
2020-11-03 17:19:19,020 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:19 +0000 (0:00:00.156)       0:00:00.156 ****** 
2020-11-03 17:19:19,064 p=1 u=root n=ansible | ok: [core-sw1] => changed=false 
  msg: All assertions passed
2020-11-03 17:19:19,067 p=1 u=root n=ansible | PLAY [all] ***********************************************************************************************************************************************************************************
2020-11-03 17:19:19,074 p=1 u=root n=ansible | TASK [localhost-build-dirs : Build local directories to hold output files] *******************************************************************************************************************
2020-11-03 17:19:19,074 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:19 +0000 (0:00:00.054)       0:00:00.210 ****** 
2020-11-03 17:19:19,082 p=1 u=root n=ansible | ok: [core-sw1] => 
  msg: Check roles/localhost-build-dirs/defaults/main.yml
2020-11-03 17:19:19,086 p=1 u=root n=ansible | TASK [localhost-build-dirs : remove previous temporary build directory] **********************************************************************************************************************
2020-11-03 17:19:19,086 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:19 +0000 (0:00:00.012)       0:00:00.222 ****** 
2020-11-03 17:19:19,445 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:19,463 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:19,467 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:19,470 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:19,474 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:19,483 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:19,497 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:19,514 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:19,531 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:19,551 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:19,554 p=1 u=root n=ansible | TASK [localhost-build-dirs : create new temporary directory] *********************************************************************************************************************************
2020-11-03 17:19:19,554 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:19 +0000 (0:00:00.468)       0:00:00.691 ****** 
2020-11-03 17:19:19,778 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:19,779 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:19,793 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:19,799 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:19,801 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:19,806 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:19,817 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:19,824 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:19,825 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:19,839 p=1 u=root n=ansible | changed: [access-sw4]
2020-11-03 17:19:19,843 p=1 u=root n=ansible | TASK [localhost-build-dirs : remove any previous config files] *******************************************************************************************************************************
2020-11-03 17:19:19,843 p=1 u=root n=ansible | Tuesday 03 November 2020  17:19:19 +0000 (0:00:00.288)       0:00:00.979 ****** 
2020-11-03 17:19:20,049 p=1 u=root n=ansible | changed: [core-sw1]
2020-11-03 17:19:20,077 p=1 u=root n=ansible | changed: [dist-sw1]
2020-11-03 17:19:20,085 p=1 u=root n=ansible | changed: [core-sw2]
2020-11-03 17:19:20,086 p=1 u=root n=ansible | changed: [dist-sw2]
2020-11-03 17:19:20,091 p=1 u=root n=ansible | changed: [dist-sw3]
2020-11-03 17:19:20,092 p=1 u=root n=ansible | changed: [dist-sw4]
2020-11-03 17:19:20,095 p=1 u=root n=ansible | changed: [access-sw1]
2020-11-03 17:19:20,111 p=1 u=root n=ansible | changed: [access-sw3]
2020-11-03 17:19:20,116 p=1 u=root n=ansible | changed: [access-sw2]
2020-11-03 17:19:20,121 p=1 u=root n=ansible | changed: [access-sw4]
